M0_bin,R_cMpc,fprog16,fprog50,fprog84
12.5-13.5,2.0,0.11542799999999999,0.21615,0.3416679999999999
12.5-13.5,3.0,0.265884,0.4375,0.6286679999999999
12.5-13.5,5.0,0.610416,0.85395,0.9606359999999999
12.5-13.5,8.0,0.94434,0.9975,0.999964
12.5-13.5,10.0,0.993292,0.99965,1.0
12.5-13.5,15.0,1.0,1.0,1.0
12.5-13.5,20.0,1.0,1.0,1.0
13.5-14.0,2.0,0.034572000000000006,0.0526,0.07131599999999999
13.5-14.0,3.0,0.081884,0.1224,0.16521999999999998
13.5-14.0,5.0,0.215816,0.34509999999999996,0.5141439999999999
13.5-14.0,8.0,0.585408,0.7053,0.8986199999999999
13.5-14.0,10.0,0.802104,0.91945,0.97304
13.5-14.0,15.0,0.9897480000000001,0.9997,1.0
13.5-14.0,20.0,1.0,1.0,1.0
14.0-14.5,2.0,0.016256,0.02105,0.033727999999999994
14.0-14.5,3.0,0.040116,0.05245,0.07819200000000001
14.0-14.5,5.0,0.118304,0.17895,0.26826399999999995
14.0-14.5,8.0,0.313552,0.4521,0.6479320000000001
14.0-14.5,10.0,0.533044,0.65745,0.8504919999999999
14.0-14.5,15.0,0.905272,0.9717,0.9987400000000001
14.0-14.5,20.0,0.9999,1.0,1.0
>14.5,2.0,0.001836,0.0073,0.011283999999999999
>14.5,3.0,0.006328,0.0166,0.031496
>14.5,5.0,0.022972000000000003,0.05545,0.10510800000000001
>14.5,8.0,0.06777200000000001,0.16849999999999998,0.298192
>14.5,10.0,0.112896,0.2871,0.46884
>14.5,15.0,0.278304,0.66585,0.85222
>14.5,20.0,0.470412,0.9211,0.992104
