GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,GroupID_z0,SubhaloID_z0,M200c_z0,logM200c_z0,MstarCentral_z8,logMstarCentral_z8,SFRCentral_z8,logSFRCentral_z8,Ngal_R1,MstarTot_R1,Nhalo_R1,MhaloTot_R1,deltaGal_R1,Ngal_R2,MstarTot_R2,Nhalo_R2,MhaloTot_R2,deltaGal_R2,Ngal_R3,MstarTot_R3,Nhalo_R3,MhaloTot_R3,deltaGal_R3,Ngal_R5,MstarTot_R5,Nhalo_R5,MhaloTot_R5,deltaGal_R5,Ngal_R8,MstarTot_R8,Nhalo_R8,MhaloTot_R8,deltaGal_R8,Ngal_R10,MstarTot_R10,Nhalo_R10,MhaloTot_R10,deltaGal_R10,Ngal_R15,MstarTot_R15,Nhalo_R15,MhaloTot_R15,deltaGal_R15,Ngal_R20,MstarTot_R20,Nhalo_R20,MhaloTot_R20,deltaGal_R20,M0_bin,R_Lag_analytic_cMpc,TargetX_cMpc,TargetY_cMpc,TargetZ_cMpc
5891,22473,69404090000.0,10.841384887695312,8961,1385849,3539427393536.0,12.548933007804836,264995781.18289083,8.42323895988558,1.861284255981445,0.2700459716947584,0,0.0,4,28156607260.84342,-1.0,0,0.0,7,39547220519.203545,-1.0,0,0.0,14,83138459343.66666,-1.0,0,0.0,25,148252534160.65063,-1.0,0,0.0,58,398340615368.81866,-1.0,2,587361362.9258063,124,1037825047221.9006,0.5903469143942206,7,2469623610.949249,434,3706169052306.341,0.649248651964377,15,3757781110.173804,823,6592271240730.007,0.4909502322445818,12.5-13.5,2.7797469768287053,164.65433089754947,18.876693630978743,301.87253192353114
5392,21027,69971270000.0,10.84492015838623,9529,1405515,4209190109184.0,12.624198541216078,139161548.98282945,8.143519254158273,1.3739408254623413,0.1382840074548738,0,0.0,3,17405642074.999428,-1.0,0,0.0,9,42391967238.45633,-1.0,0,0.0,11,50997544450.67822,-1.0,0,0.0,30,174744434023.38208,-1.0,0,0.0,84,589896836858.3911,-1.0,1,148703975.77181587,117,867047916920.7264,-0.2048265428028897,2,283983391.7055012,293,2016656788834.2944,-0.5287860994387494,9,1658978141.95646,736,5325493782512.346,-0.1054298606532508,12.5-13.5,2.945057494845712,240.20270519633894,56.22843893010039,209.44198405668735
4974,19746,73322380000.0,10.865236282348633,9728,1412398,4716854509568.0,12.67365248072604,169190652.6794749,8.228376365784207,1.5661108493804932,0.1950997173183648,0,0.0,5,36813873508.38692,-1.0,0,0.0,11,81796275414.93343,-1.0,0,0.0,14,93155851626.69888,-1.0,0,0.0,22,151655925721.0269,-1.0,0,0.0,38,278846887860.07434,-1.0,0,0.0,82,709358976941.0709,-1.0,3,404078455.0902764,248,2043079698564.452,-0.2931791491581241,6,851044534.7174028,762,5848175954653.302,-0.4036199071021673,12.5-13.5,3.058992584729457,228.40082484499558,23.28388818921612,73.9634367157514
1230,6869,67924260000.0,10.832025527954102,3712,1100000,7991060856832.0,12.902604438098102,60627745.38140329,7.7826714180350365,1.2876814603805542,0.1101455805844318,0,0.0,7,56980772464.719536,-1.0,0,0.0,14,96976947108.65814,-1.0,0,0.0,14,96976947108.65814,-1.0,0,0.0,37,236823867125.4647,-1.0,0,0.0,99,634732400953.9282,-1.0,1,227196939.48974785,173,1198262665866.2217,-0.2048265428028897,9,1719004961.5517316,613,4856030783990.796,1.120462552525627,21,4403525674.70739,1246,10170776103762.076,1.0873303251424145,12.5-13.5,3.646663946652317,268.7307859093593,287.2447732137585,119.97979406554474
4479,18191,76851495000.0,10.885652542114258,5773,1242874,8306387058688.0,12.9194121643775,144255693.73684222,8.15913296366272,1.64013671875,0.2151447624823388,0,0.0,2,7618845811.381536,-1.0,0,0.0,5,19680369664.05508,-1.0,0,0.0,9,39809670355.385445,-1.0,0,0.0,36,236713846445.36523,-1.0,0,0.0,114,844824038047.7931,-1.0,0,0.0,159,1117881256806.5225,-1.0,2,708587486.9183239,391,2923962161723.6523,-0.5287860994387494,10,2403525060.3633537,868,6753111212944.114,-0.0060331785036121,12.5-13.5,3.6940121433695636,121.92799444567464,182.84488485385296,133.40879419471509
1464,7812,127398500000.0,11.105164527893066,5435,1223121,8389620400128.0,12.923742311024254,293500878.7373226,8.467609405856884,2.7786943912506104,0.4439970507780471,1,153490401.86824015,4,101303100445.15298,794.1734571971102,1,153490401.86824015,11,159932082122.42883,98.39668214963878,2,440041309.9523487,21,285012192929.5689,57.90173757015632,3,793626078.2584772,45,493948858045.4266,18.084162972730645,4,1037610540.23304,82,814594536720.5626,5.212292634352424,4,1037610540.23304,136,1164648248306.7273,2.180693828788441,4,1037610540.23304,312,2356867192811.87,-0.0575721988774988,12,2787291128.1278787,649,5220460625112.955,0.1927601857956653,12.5-13.5,3.7063096551808683,92.14185788492767,209.84379613227046,8.433676067270078
3579,15311,71475850000.0,10.854159355163574,3101,1042147,9830096961536.0,12.992557801621796,135331921.4092161,8.131400247867003,2.265509366989136,0.355357518242837,0,0.0,6,58197049500.49384,-1.0,0,0.0,11,97172425530.25037,-1.0,0,0.0,13,104317134826.4163,-1.0,0,0.0,26,184448163682.53387,-1.0,0,0.0,70,426224263449.2812,-1.0,0,0.0,124,799178324611.2003,-1.0,4,663847356.7421154,331,2427086477825.9062,-0.0575721988774988,8,1328002549.0039668,677,5099592029889.989,-0.2048265428028897,12.5-13.5,3.907330953846884,140.3768429842043,26.56961878598317,244.81258765131386
4218,17384,81515030000.0,10.911237716674805,2679,994653,10801649811456.0,13.03349009338421,203353981.70055452,8.308252680373014,2.4926815032958984,0.3968409839484482,0,0.0,4,31201425716.52291,-1.0,0,0.0,7,42678610013.93701,-1.0,0,0.0,11,64306923746.18277,-1.0,0,0.0,39,259571564929.61972,-1.0,0,0.0,98,600610455651.5322,-1.0,0,0.0,156,1049830773991.0486,-1.0,7,1070301447.4387432,446,3538480005962.574,0.649248651964377,14,2490707034.1026998,891,7070110002678.337,0.3915535500949429,12.5-13.5,4.0320350163865655,134.3126868356953,9.19671823677849,130.55997656480662
485,3364,123928200000.0,11.093170166015623,2275,942672,10886938886144.0,13.036905785014008,476641214.752676,8.678191592701515,4.989813327789307,0.698171326182059,1,115509516.44597872,5,75356096055.67871,794.1734571971102,1,115509516.44597872,21,235701557595.29263,98.39668214963878,1,115509516.44597872,31,307831058406.81573,28.45086878507816,1,115509516.44597872,48,437318616149.90906,5.361387657576882,1,115509516.44597872,108,832165333332.1267,0.5530731585881059,1,115509516.44597872,161,1148535322880.7942,-0.2048265428028897,4,563092387.6143466,406,2919189303955.005,-0.0575721988774988,8,2008285088.855625,895,6467642388294.179,-0.2048265428028897,12.5-13.5,4.042619429711925,274.08397457189255,219.55858337023915,302.43682185562443
1380,7501,90592340000.0,10.957091331481934,2582,982836,11968683442176.0,13.078046380544713,165977493.55763575,8.22004920197741,2.0205812454223637,0.3056911999014906,0,0.0,8,70227454255.59653,-1.0,0,0.0,18,130335742661.05688,-1.0,0,0.0,27,251830029151.4868,-1.0,0,0.0,37,300541805207.3597,-1.0,5,2415169527.8482275,123,1490618825037.9922,6.765365792940529,8,2849717821.91378,217,2306490625767.0776,5.361387657576882,9,3005782889.3743687,425,3752487185151.306,1.120462552525627,10,3891696353.0120897,813,6516964048155.997,-0.0060331785036121,12.5-13.5,4.172308290555805,19.603037579347507,9.5320039742951,146.78424629096546
1088,6233,82608800000.0,10.91702651977539,3753,1103562,12264870510592.0,13.088662967395056,265740014.33330545,8.424456954093085,2.429198265075684,0.3856417064854806,1,117886162.5661954,7,111931203423.18835,794.1734571971102,2,218845392.9796309,19,224642947003.80408,197.7933642992776,2,218845392.9796309,36,397427672212.8636,57.90173757015632,2,218845392.9796309,59,544825765563.5639,11.722775315153765,3,370809341.4748,149,1357669022527.1062,3.659219475764318,6,902156298.5264168,297,2543148370462.428,3.771040743182661,10,1704955092.9840665,705,5955107835214.122,1.3560695028062528,10,1704955092.9840665,1149,8932788709218.713,-0.0060331785036121,12.5-13.5,4.206445370906519,200.58285817094776,160.9579365958075,121.72918742618837
