GroupID_z0,N_DM_total,N_DM_sampled,sampling_fraction,ParticleMembership
8961,57136,10000,0.17502100252030245,R200c
9529,66945,10000,0.14937635372320562,R200c
9728,76822,10000,0.1301710447528052,R200c
3712,128616,10000,0.07775082415873608,R200c
5773,134745,10000,0.07421425655868492,R200c
5435,134409,10000,0.07439977977665187,R200c
3101,157552,10000,0.0634711079516604,R200c
2679,167957,10000,0.05953904868508011,R200c
2275,173811,10000,0.05753375793246687,R200c
2582,188848,10000,0.052952639159535714,R200c
3753,196578,10000,0.050870392414207086,R200c
3734,205760,10000,0.04860031104199067,R200c
3271,225584,10000,0.044329385062770406,R200c
1642,226571,10000,0.04413627516319388,R200c
2189,296093,10000,0.03377317261806257,R200c
1804,365466,10000,0.027362326454444464,R200c
1695,375834,10000,0.0266074916053364,R200c
1944,392595,10000,0.025471541919790116,R200c
1604,410474,10000,0.02436207896237033,R200c
1258,427471,10000,0.023393399786184325,R200c
924,513928,10000,0.019457978549524448,R200c
1198,545125,10000,0.018344416418252695,R200c
1140,539207,10000,0.018545753300680444,R200c
957,670067,10000,0.014923880746253733,R200c
690,751804,10000,0.013301339178828524,R200c
520,865009,10000,0.011560573358196272,R200c
772,888389,10000,0.011256330278740507,R200c
498,887273,10000,0.01127048833898924,R200c
489,948765,10000,0.010540017812630103,R200c
493,948133,10000,0.010547043505499756,R200c
400,976597,10000,0.01023963825405976,R200c
430,987264,10000,0.010129002981978477,R200c
611,996189,10000,0.010038255792826462,R200c
538,1107349,10000,0.009030576629409518,R200c
411,1212184,10000,0.008249572672135583,R200c
426,1206885,10000,0.008285793592595814,R200c
178,1314080,10000,0.007609886764884938,R200c
369,1341353,10000,0.007455159081912069,R200c
319,1378196,10000,0.007255862010918621,R200c
345,1430164,10000,0.006992205089765929,R200c
268,1469828,10000,0.006803517146223912,R200c
263,1492085,10000,0.006702031050509857,R200c
274,1499192,10000,0.006670259713232194,R200c
295,1653403,10000,0.006048132246040439,R200c
252,1703005,10000,0.005871973364728817,R200c
279,1720322,10000,0.0058128652659211475,R200c
221,1749776,10000,0.005715017236491985,R200c
235,1793331,10000,0.0055762154337375535,R200c
223,1862896,10000,0.0053679861892451325,R200c
185,1961689,10000,0.005097647996191037,R200c
175,2103863,10000,0.00475316120869087,R200c
203,2386024,10000,0.004191072679905986,R200c
146,2366232,10000,0.004226128291731327,R200c
134,2499368,10000,0.004001011455696,R200c
80,2723436,10000,0.0036718322002059164,R200c
37,2790641,10000,0.0035834061063390096,R200c
92,2954887,10000,0.003384224168301529,R200c
40,3343236,10000,0.0029911139985331577,R200c
79,3604644,10000,0.002774199060989102,R200c
67,3897389,10000,0.0025658203479303706,R200c
44,4699514,10000,0.0021278796062741807,R200c
39,4754974,10000,0.0021030609210481487,R200c
22,5105969,10000,0.0019584921099207613,R200c
35,5385281,10000,0.0018569133161296504,R200c
21,5339065,10000,0.001872987124150015,R200c
31,5576202,10000,0.0017933353203488684,R200c
8,5640962,10000,0.0017727472725396838,R200c
17,5925395,10000,0.0016876512029999687,R200c
27,6472535,10000,0.0015449897142309776,R200c
28,6686867,10000,0.0014954686552013073,R200c
15,6953882,10000,0.0014380456844105207,R200c
11,7672750,10000,0.001303313675018735,R200c
7,8248173,10000,0.0012123897013314342,R200c
9,9059116,10000,0.0011038604649725205,R200c
12,9343529,10000,0.00107025942767449,R200c
5,10370763,10000,0.0009642492071219832,R200c
4,11873294,10000,0.0008422262600420742,R200c
3,12561632,10000,0.0007960749049168134,R200c
2,14442273,10000,0.0006924117831036708,R200c
0,21870192,10000,0.000457243356619823,R200c
