L_los_cMpc,R_proj_cMpc,rho_Ngal,rho_MstarTot,p_Ngal,p_MstarTot,N,zero_fraction
10.0,2.0,0.3303302423397052,0.324397608601672,8.567468975258776e-80,7.352521143208946e-77,3099,0.5330751855437238
10.0,3.0,0.4060650095963318,0.3929676597523351,2.3345309674754732e-123,5.721653953452653e-115,3099,0.4388512423362375
10.0,5.0,0.514995417617047,0.4993676153194172,1.543859063015794e-209,3.600848406217409e-195,3099,0.3249435301710229
10.0,8.0,0.60063523018272,0.5792073527654862,2.7885081742342678e-303,3.514609779979244e-277,3099,0.2090997095837367
10.0,10.0,0.6225887366112054,0.5941824928892522,0.0,3.2554938179361106e-295,3099,0.154243304291707
10.0,15.0,0.6292113331651402,0.5958229363206167,0.0,3.013683134546973e-297,3099,0.0722813810906744
20.0,2.0,0.35488175791522414,0.3489075541858202,1.2055509227519857e-92,2.0691347290771804e-89,3099,0.5037108744756373
20.0,3.0,0.4420430494322885,0.4277456111022829,1.992272111903996e-148,4.248274962287196e-138,3099,0.3878670538883511
20.0,5.0,0.5520353218658517,0.5317717217140154,9.467980272905884e-247,8.072189058823663e-226,3099,0.24911261697321715
20.0,8.0,0.6409756625931973,0.6110883739546861,0.0,9.5189533e-317,3099,0.12746047111971603
20.0,10.0,0.6617291162687063,0.6229486536142913,0.0,0.0,3099,0.0787350758309132
20.0,15.0,0.6438905403828585,0.5989076366334791,0.0,4.2001642769112115e-301,3099,0.0180703452726686
40.0,2.0,0.366960626941021,0.35817823864916754,2.1113860012315224e-99,1.845866320042656e-94,3099,0.46789286866731206
40.0,3.0,0.45181516992664666,0.43528265399625016,8.894126249577177e-156,1.758681083047428e-143,3099,0.3378509196515005
40.0,5.0,0.5415565067309088,0.5162208782112787,9.522292441948013e-236,1.0714472059822239e-210,3099,0.1829622458857696
40.0,8.0,0.611080183769653,0.5843966252985654,9.7575e-317,2.53076764931558e-283,3099,0.061955469506292354
40.0,10.0,0.6194076086855308,0.5857087245181777,0.0,6.799172659647645e-285,3099,0.02904162633107454
40.0,15.0,0.591251106837359,0.552700239075672,1.3101986462461133e-291,1.8400959290207012e-247,3099,0.002258793159083575
80.0,2.0,0.35819861611733034,0.34888890128053646,1.7985128809862206e-94,2.1172803530059244e-89,3099,0.41045498547918685
80.0,3.0,0.42977088811754255,0.40977832762780164,1.5673011200891843e-139,8.321799585730519e-126,3099,0.26460148434979025
80.0,5.0,0.4815871039802118,0.4549459755775558,1.0466945841390302e-179,3.4910644533082348e-158,3099,0.09970958373668926
80.0,8.0,0.526258010213331,0.5038684982129961,2.2875032994696785e-220,3.124841055184435e-199,3099,0.017424975798644726
80.0,10.0,0.5320580517944705,0.5036596092242107,4.1790843007313125e-226,4.838138479602883e-199,3099,0.006131010003226848
80.0,15.0,0.4889706215199264,0.46229250944163197,5.120399631122314e-186,6.2684875824935145e-164,3099,0.0
