Tracer,Metric,log_threshold,R_opt_cMpc,rho_max,N,zero_fraction_at_opt
halo,count,9.5,10.0,0.8067155838989061,3099,0.0
halo,mass,9.5,10.0,0.8061807638175409,3099,0.0
halo,count,10.0,10.0,0.7980961016855902,3099,0.00032268473701193933
halo,mass,10.0,10.0,0.7815275880718245,3099,0.00032268473701193933
halo,count,10.5,10.0,0.7052159292218219,3099,0.05227492739593417
halo,mass,10.5,10.0,0.6930638858543955,3099,0.05227492739593417
halo,count,11.0,15.0,0.5202356971073123,3099,0.35785737334624074
halo,mass,11.0,15.0,0.5165580581345498,3099,0.35785737334624074
galaxy,count,7.5,10.0,0.763517170869144,3099,0.0012907389480477573
galaxy,mass,7.5,10.0,0.7160018904884876,3099,0.0012907389480477573
galaxy,count,8.0,15.0,0.6469084884404023,3099,0.021619877379799937
galaxy,mass,8.0,10.0,0.6148071915228059,3099,0.11842529848338174
galaxy,count,8.5,15.0,0.5153025899545848,3099,0.329783801226202
galaxy,mass,8.5,15.0,0.4898419301703602,3099,0.329783801226202
galaxy,count,9.0,20.0,0.3072647253830981,3099,0.6434333656018071
galaxy,mass,9.0,20.0,0.3080062011252297,3099,0.6434333656018071
