GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,SubhaloID_z0,GroupID_z0,M200c_z0,logM200c_z0,TrackingStatus
36,494,141928240000.0,11.152069091796875,11750,1,1307340129173504.0,15.116388592175756,success
40,537,157643240000.0,11.197675704956055,260599,128,167641163497472.0,14.224380666351609,success
65,747,126111790000.0,11.10075569152832,47315,8,398251614273536.0,14.600157544846473,success
77,846,142772000000.0,11.154643058776855,427248,332,99754541318144.0,13.998932676033133,success
80,867,146573300000.0,11.166054725646973,503347,473,81075552387072.0,13.90888991630696,success
99,983,70339900000.0,10.84720230102539,97407,25,219906721185792.0,14.342238503254803,success
101,1003,119689280000.0,11.078055381774902,120494,35,381228075188224.0,14.581184876358591,success
102,1017,108133910000.0,11.03396224975586,160830,56,296168328265728.0,14.47153861395946,success
103,1034,88059090000.0,10.944774627685547,344282,215,116181465825280.0,14.065136851532658,success
108,1065,112302460000.0,11.050389289855957,323749,191,156477503307776.0,14.194451908070404,success
111,1086,131669760000.0,11.119486808776855,86933,21,382146090893312.0,14.582229421392805,success
118,1134,156204530000.0,11.193694114685059,414330,312,90020350263296.0,13.954340698417177,success
124,1169,82844840000.0,10.918265342712402,590488,675,57136910434304.0,13.756916753064406,success
129,1205,105777050000.0,11.024392127990723,262558,130,164261326225408.0,14.215535324944792,success
130,1218,154260420000.0,11.188255310058594,690364,981,40483397042176.0,13.607276947872545,success
133,1234,82863055000.0,10.918360710144043,733689,1140,36408756535296.0,13.561205846770223,success
135,1251,131899340000.0,11.120243072509766,160830,56,296168328265728.0,14.47153861395946,success
139,1280,152282550000.0,11.182650566101074,81618,19,467371865145344.0,14.669662565180955,success
140,1288,143227940000.0,11.156027793884277,789373,1381,34546263261184.0,13.538401078256861,success
141,1301,138725700000.0,11.142157554626465,235366,106,201667337256960.0,14.304635564064277,success
142,1309,122742060000.0,11.088994026184082,243651,113,200451358195712.0,14.302009003240094,success
146,1336,117547205000.0,11.070212364196777,494530,455,74523831435264.0,13.872295174839584,success
147,1344,118175740000.0,11.072528839111328,120494,35,381228075188224.0,14.581184876358591,success
