GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,GroupID_z0,SubhaloID_z0,M200c_z0,logM200c_z0,MstarCentral_z8,logMstarCentral_z8,SFRCentral_z8,logSFRCentral_z8,Ngal_R1,MstarTot_R1,Nhalo_R1,MhaloTot_R1,deltaGal_R1,Ngal_R2,MstarTot_R2,Nhalo_R2,MhaloTot_R2,deltaGal_R2,Ngal_R3,MstarTot_R3,Nhalo_R3,MhaloTot_R3,deltaGal_R3,Ngal_R5,MstarTot_R5,Nhalo_R5,MhaloTot_R5,deltaGal_R5,Ngal_R8,MstarTot_R8,Nhalo_R8,MhaloTot_R8,deltaGal_R8,Ngal_R10,MstarTot_R10,Nhalo_R10,MhaloTot_R10,deltaGal_R10,Ngal_R15,MstarTot_R15,Nhalo_R15,MhaloTot_R15,deltaGal_R15,Ngal_R20,MstarTot_R20,Nhalo_R20,MhaloTot_R20,deltaGal_R20
36,494,141928240000.0,11.152069091796877,1,11750,1307340129173504.0,15.116388592175756,398105836.949378,8.599998545170942,5.075882434844971,0.7055971065818236,0,0.0,8,75053983701.51784,-1.0,0,0.0,18,160088674540.64218,-1.0,0,0.0,45,413776774224.4692,-1.0,0,0.0,93,765851629908.401,-1.0,0,0.0,232,1757165531792.5396,-1.0,2,230987074.53168738,395,2975840381079.096,0.5903469143942206,5,991693608.2296362,924,7211625328986.455,0.1780347514031264,21,4219826180.812335,1942,15462820911199.84,1.0873303251424145
40,537,157643240000.0,11.197675704956056,128,260599,167641163497472.0,14.224380666351609,299723471.8863648,8.476720754662608,3.024651288986206,0.4808188734572372,2,649542350.6090766,5,57882888411.43378,1589.3469143942204,2,649542350.6090766,19,147144794728.08228,197.79336429927756,2,649542350.6090766,42,364630327512.9878,57.901737570156314,5,1264442691.0916648,184,1808188455072.0957,30.80693828788441,12,3340419381.5819488,356,3677852782204.965,17.63687790305727,15,3825911336.6941915,430,4353590004953.413,10.927601857956654,19,4781660739.885677,748,6944076269029.134,3.47653205533188,23,5837203790.429581,1293,10934409722663.844,1.286123689441692
65,747,126111790000.0,11.10075569152832,8,47315,398251614273536.0,14.600157544846471,158815589.9624716,8.200893132236843,3.646871566772461,0.5620395394085971,2,1028389374.3622856,7,168148871232.95154,1589.3469143942204,4,4240816815.4205236,31,759048030277.5333,396.5867285985551,6,4468526965.3432,58,1035777952798.1091,175.70521271046894,10,5364955657.532706,139,2043421375327.3823,62.61387657576882,13,6323848879.346989,332,3684142102595.4487,19.189951061645377,16,6874366934.241571,500,4980764381866.882,11.722775315153765,20,7676680310.83471,1093,9352223919597.318,3.7121390056125056,24,8445058768.911543,1915,15662149008190.791,1.3855203715913307
77,846,142772000000.0,11.154643058776855,332,427248,99754541318144.0,13.998932676033132,407271403.93480986,8.609883917698808,2.773683786392212,0.4432134964136555,2,412724411.7216336,10,108186927012.78902,1589.3469143942204,4,1305080980.506836,28,370203866423.9889,396.5867285985551,5,1630976926.4858735,48,508339681085.45746,146.2543439253908,5,1630976926.4858735,114,1109379852437.5364,30.80693828788441,6,1833769034.980355,189,1748300503894.2944,8.318438951528636,6,1833769034.980355,233,2044470218437.2737,3.7710407431826614,7,2002753061.6342335,357,2906003632014.3623,0.649248651964377,7,2002753061.6342335,603,4462950791067.03,-0.3042232249525285
80,867,146573300000.0,11.166054725646973,473,503347,81075552387072.0,13.90888991630696,749974079.0363466,8.87504625335701,6.759465217590332,0.8299765826991097,1,510279860.22762257,8,67968155549.69671,794.1734571971102,3,732548434.2312158,27,334173623733.1234,297.19004644891635,4,1542615284.3595924,50,648999385753.493,116.80347514031263,4,1542615284.3595924,100,982780339911.7954,24.44555063030753,5,1684758495.4239395,183,1635803408527.0078,6.765365792940529,6,2239651814.133923,250,2295413632677.2666,3.7710407431826614,6,2239651814.133923,454,3663412642128.742,0.4136417016837517,10,3852525226.615649,1062,8028357882951.265,-0.00603317850361218
99,983,70339900000.0,10.84720230102539,25,97407,219906721185792.0,14.342238503254803,202436077.65019098,8.306287913939157,1.7104331254959106,0.23335993368392632,1,116740556.05818819,4,31211508307.655476,794.1734571971102,3,401321759.51729774,21,291229285803.5226,297.19004644891635,4,697690462.8558042,62,827090053043.43,116.80347514031263,9,2275989576.5142593,150,1948779410041.1133,56.25248891819194,12,3154444540.42599,340,3682356575464.9004,17.63687790305727,12,3154444540.42599,522,4981468396620.447,8.542081486365323,23,4970230044.456652,1222,10826615225232.234,4.418959856454381,56,13807984139.107042,2630,24156783756989.453,4.566214200379772
101,1003,119689280000.0,11.078055381774902,35,120494,381228075188224.0,14.581184876358591,535411381.3026627,8.728687598797883,4.829983711242676,0.684035573166638,1,114532823.86108525,7,120782251198.94572,794.1734571971102,2,245734039.55878568,33,390865730964.78906,197.79336429927756,6,2408226665.1632905,66,1222923426834.714,175.70521271046894,8,2801310028.226407,159,2199439010394.5103,49.89110126061506,20,6164626347.8893,442,5415903169310.898,30.061463171762117,22,6452625109.240795,602,6674042291079.154,16.493816058336428,26,7098922830.439086,1127,10582498049873.28,5.125780707296257,42,13924421747.232962,1923,17794174778406.883,3.174660650284829
102,1017,108133910000.0,11.03396224975586,56,160830,296168328265728.0,14.47153861395946,206814819.83304763,8.315581655994002,3.175567865371704,0.5019581381984644,1,328301986.3665192,7,46810658457.7811,794.1734571971102,2,476520709.25568,44,487165789856.54333,197.79336429927756,8,1812804309.3977332,78,1159404568618.33,234.60695028062526,8,1812804309.3977332,142,1756667984791.9736,49.89110126061506,10,2186774208.279426,256,2711146189587.849,14.530731585881059,11,2288909291.8743873,341,3479176648632.0664,7.746908029168214,15,3330612543.872457,801,7229149554519.836,2.534104254209379,22,4179528613.300108,1341,11182655452590.873,1.1867270072920535
103,1034,88059090000.0,10.944774627685549,215,344282,116181465825280.0,14.065136851532658,192883243.25581655,8.285294499921568,2.7398791313171387,0.43788988422267705,2,546235895.8396653,11,98992350057.82774,1589.3469143942204,2,546235895.8396653,27,187665413474.48758,197.79336429927756,2,546235895.8396653,46,324578509108.6619,57.901737570156314,3,667305493.2967238,76,603737161641.3506,18.084162972730645,5,1790573279.3312776,145,1260470257753.6033,6.765365792940529,5,1790573279.3312776,194,1556829700770.5457,2.9758672859855513,11,2720367297.0550265,558,4574613693737.513,1.5916764530868779,20,4886697861.194118,1162,9092707639207.592,0.9879336429927756
108,1065,112302460000.0,11.050389289855955,191,323749,156477503307776.0,14.194451908070404,388583056.7496908,8.589483860287093,4.938381195068359,0.6936725439842624,3,599005472.9499929,11,133373141772.7041,2384.520371591331,4,740018627.046219,28,322035195238.30084,396.5867285985551,6,4402259322.103847,64,907802747648.868,175.70521271046894,10,8685633028.43478,141,2278767083778.402,62.61387657576882,12,8956251968.691525,238,3015365331247.561,17.63687790305727,14,9306831647.492647,313,3619888269790.409,10.132428400759544,21,10586233813.989855,733,7172919035283.455,3.9477459558931303,32,12355471997.22127,1436,12570033832869.771,2.180693828788441
111,1086,131669760000.0,11.119486808776855,21,86933,382146090893312.0,14.582229421392803,338374706.0847275,8.529397891546687,4.155240058898926,0.6187006238813444,2,401434249.6458112,7,96139604358.29016,1589.3469143942204,4,834785806.576622,26,430252671391.34375,396.5867285985551,9,1999867542.7290413,71,1278704192114.3267,264.0578190657034,14,3764747551.5155964,162,2279657674312.66,88.05942720607635,24,6065609015.783958,422,4806053375367.19,36.27375580611454,26,6456275422.160151,568,5915182802726.077,19.674509887124866,30,7086467374.020493,923,8719009307059.423,6.068208508418758,32,7407566115.088542,1395,12157712579389.412,2.180693828788441
118,1134,156204530000.0,11.19369411468506,312,414330,90020350263296.0,13.954340698417177,435294012.0526672,8.638782693000792,4.469700813293457,0.6503756071341131,1,883607732.2184178,5,58626462074.37778,794.1734571971102,1,883607732.2184178,15,125382731965.34348,98.39668214963878,2,1267879345.633831,35,321784997834.6158,57.901737570156314,5,1753209549.7851884,93,871245419606.0165,30.80693828788441,5,1753209549.7851884,147,1196046913571.1567,6.765365792940529,5,1753209549.7851884,200,1501666266797.8127,2.9758672859855513,9,2254303550.2591457,427,3312674379688.399,1.1204625525256273,10,2421035217.1239934,830,6024186830975.373,-0.00603317850361218
124,1169,82844840000.0,10.918265342712402,675,590488,57136910434304.0,13.756916753064406,350923226.01834196,8.54521211315069,3.5332694053649902,0.5482996512273363,5,1477597199.9457355,6,369514791547.3546,3974.867285985551,8,2016731080.6038036,22,653935067854.9779,794.1734571971102,9,2293298771.6263433,54,914527282915.11,264.0578190657034,9,2293298771.6263433,91,1262872459563.2463,56.25248891819194,10,2417001369.510177,128,1538866213026.5312,14.530731585881059,11,2993012035.7676597,181,1990905287283.727,7.746908029168214,14,3531113130.0099454,398,3603958692660.1187,2.298497303928754,22,4975339807.49299,840,7069412418917.486,1.1867270072920535
